"id","parentId","code","name","level","sortNo","deleted","version","createUser","createTime","updateUser","updateTime"
AA0001,A10001,AA0001,餐饮消费,2,1,1,0,,,,
AB0001,A10001,AB0001,酒水消费,2,2,1,0,,,,
AC0001,A10001,AC0001,超市购物,2,3,1,0,,,,
AD0001,A10001,AD0001,电话费,2,4,1,0,,,,
AE0001,A10001,AE0001,银行手续费,2,6,1,0,,,,
AF0001,A10001,AF0001,电影,2,7,1,0,,,,
AG0001,A10001,AG0001,房租,2,8,1,0,,,,
AH0001,A10001,AH0001,服务费（按摩、理疗、剪头发）,2,9,1,0,,,,
AI0001,A10001,AI0001,其它消费,2,10,1,0,,,,
AJ0001,A10001,AJ0001,咖啡（星巴克）,2,11,1,0,,,,
AK0001,A10001,AK0001,药,2,12,1,0,,,,
AL0001,A10001,AL0001,网费,2,5,1,0,,,,
ALK0001,A10001,ALK0001,网上支付,2,17,1,0,,,,
AM0001,A10001,AM0001,快递,2,13,1,0,,,,
AN0001,A10001,AN0001,证件照,2,14,1,0,,,,
AO0001,A10001,AO0001,水电费,2,15,1,0,,,,
AP0001,A10001,AP0001,体育用品,2,16,1,0,,,,
BA0001,B10001,BA0001,火车票,2,1,1,0,,,,
BB0001,B10001,BB0001,汽车票,2,2,1,0,,,,
BC0001,B10001,BC0001,飞机票,2,3,1,0,,,,
BD0001,B10001,BD0001,高铁,2,4,1,0,,,,
BE0001,B10001,BE0001,自行车,2,6,1,0,,,,
BF0001,B10001,BF0001,滴滴打车,2,5,1,0,,,,
BG0001,B10001,BG0001,公共交通（地铁，公交）,2,7,1,0,,,,
CA0001,C10001,CA0001,手机,2,1,1,0,,,,
CB0001,C10001,CB0001,生活必需品,2,2,1,0,,,,
CC0001,C10001,CC0001,生活奢侈品,2,3,1,0,,,,
CD0001,C10001,CD0001,网上购物,2,4,1,0,,,,
CF0001,C10001,CF0001,网购消费,2,5,1,0,,,,
CG0001,C10001,CG0001,网购书籍,2,6,1,0,,,,
DA0001,D10001,DA0001,手机,2,1,1,0,,,,
DB0001,D10001,DB0001,电脑,2,2,1,0,,,,
DC0001,D10001,DC0001,风扇,2,3,1,0,,,,
DD0001,D10001,DD0001,冰箱,2,4,1,0,,,,
DE0001,D10001,DE0001,电饭煲,2,5,1,0,,,,
DF0001,D10001,DF0001,电子设备,2,6,1,0,,,,
EA0001,LIVING,EA0001,米,2,1,1,0,,,,
EB0001,LIVING,EB0001,牛奶,2,2,1,0,,,,
ED0001,LIVING,ED0001,家庭日用,2,4,1,0,,,,
EDU,"",EDU,教育与培训,1,50,0,0,,,,
EDU-00,EDU,EDU-00,学历教育（自考、成教、MBA）,2,1,0,0,,,,
EDU-02,EDU,EDU-02,技能培训（编程、设计、语言）,2,2,0,0,,,,
EDU-03,EDU,EDU-03,考证/职称考试报名费,2,3,0,0,,,,
EDU-04,EDU,EDU-04,在线课程/知识付费,2,4,0,0,,,,
EDU-05,EDU,EDU-05,教材/教辅/学习工具,2,5,0,0,,,,
EG0001,LIVING,EG0001,水果,2,7,1,0,,,,
EH0001,LIVING,EH0001,床上用品,2,8,1,0,,,,
EI0001,LIVING,EI0001,菜,2,9,1,0,,,,
EJ0001,LIVING,EJ0001,米,2,10,1,0,,,,
EK0001,LIVING,EK0001,油,2,11,1,0,,,,
EL0001,LIVING,EL0001,盐,2,12,1,0,,,,
